window_start_utc,instrument,vwap_usd,volume_lots,open_usd,high_usd,low_usd,close_usd,num_trades,tick_direction,dst_correct_local,exchange_session,circuit_breaker_active
2024-11-03T09:00:00Z,ESZ4,4559.96,313,4560.27,4561.36,4558.71,4560.71,61,flat,2024-11-03T04:00:00,pre_open,False
2024-11-03T09:00:00Z,NQZ4,19836.57,790,19835.54,19836.6,19834.86,19836.67,292,flat,2024-11-03T04:00:00,pre_open,False
2024-11-03T09:00:00Z,RTYH5,2198.13,1811,2197.17,2200.13,2195.2,2197.48,163,down,2024-11-03T04:00:00,pre_open,False
2024-11-03T09:00:00Z,YMH5,2197.71,1214,2196.37,2197.97,2195.85,2198.47,245,down,2024-11-03T04:00:00,pre_open,False
2024-11-03T09:00:00Z,MES,2201.05,187,2201.8,2202.26,2200.79,2200.32,445,flat,2024-11-03T04:00:00,pre_open,False
2024-11-03T09:01:00Z,ESZ4,4565.98,678,4566.89,4567.76,4564.52,4564.99,309,down,2024-11-03T04:01:00,pre_open,False
2024-11-03T09:01:00Z,NQZ4,19844.08,577,19844.37,19844.38,19843.84,19843.76,84,flat,2024-11-03T04:01:00,pre_open,False
2024-11-03T09:01:00Z,RTYH5,2193.54,699,2192.57,2194.82,2191.22,2193.22,125,down,2024-11-03T04:01:00,pre_open,False
2024-11-03T09:01:00Z,YMH5,2200.54,206,2200.88,2202.73,2199.13,2201.29,204,down,2024-11-03T04:01:00,pre_open,False
2024-11-03T09:01:00Z,MES,2202.94,680,2203.58,2204.75,2201.2,2202.56,106,flat,2024-11-03T04:01:00,pre_open,False
2024-11-03T09:02:00Z,ESZ4,4561.56,389,4562.26,4563.5,4560.93,4562.31,21,flat,2024-11-03T04:02:00,pre_open,False
2024-11-03T09:02:00Z,NQZ4,19844.44,1087,19844.02,19845.75,19842.72,19843.58,110,up,2024-11-03T04:02:00,pre_open,False
2024-11-03T09:02:00Z,RTYH5,2195.93,1384,2197.4,2198.64,2194.02,2196.55,482,down,2024-11-03T04:02:00,pre_open,False
