date,strategy_return_pct,benchmark_return_pct,excess_return_pct,rolling_vol_30d,drawdown_pct,synthetic_aug
2018-01-02,0.017294,0.00694,0.010354,9.8004,0.0,0
2018-01-03,-0.010417,-0.013924,0.003507,9.4869,-0.0104,0
2018-01-04,0.006967,0.001756,0.005211,11.2656,-0.0034,0
2018-01-05,-0.010918,-0.017448,0.006530,9.3517,-0.0142,0
2018-01-08,-0.000494,0.003527,-0.004021,7.9975,-0.0145,1
2018-01-09,-0.001766,-0.006386,0.004620,9.278,-0.0161,1
2018-01-10,-0.001642,0.002913,-0.004555,9.9616,-0.0177,0
2018-01-11,0.012732,0.00949,0.003242,7.4664,-0.0048,1
2018-01-12,0.009999,0.019825,-0.009826,9.9471,0.0,0
2018-01-15,0.012376,0.019578,-0.007202,11.5028,0.0,0
2018-01-16,-0.002067,-0.004528,0.002461,10.38,-0.002,0
2018-01-17,0.004708,-0.002883,0.007591,10.3853,0.0,0
2018-01-18,0.002092,0.000305,0.001787,9.3232,0.0,0
2018-01-19,0.003934,0.005087,-0.001153,8.298,0.0,1
2018-01-22,-0.022551,-0.014366,-0.008185,10.2615,-0.0225,0
2018-01-23,0.009054,-0.000253,0.009307,10.6908,-0.0134,0
2018-01-24,-0.000173,-0.001586,0.001413,8.1748,-0.0134,1
2018-01-25,-0.017810,-0.008445,-0.009365,11.7003,-0.0312,0
2018-01-26,0.005717,0.003293,0.002424,8.5525,-0.0252,1
2018-01-29,-0.001869,0.001213,-0.003082,9.7885,-0.0271,0
2018-01-30,0.006918,0.0052,0.001718,8.3333,-0.02,1
2018-01-31,-0.013186,-0.009935,-0.003251,9.5187,-0.0331,0
2018-02-01,0.001056,-0.001,0.002056,10.0586,-0.032,0
2018-02-02,0.007314,-0.000512,0.007826,10.7033,-0.0246,0
2018-02-05,-0.005492,-0.007161,0.001669,7.6579,-0.0299,1
2018-02-06,-0.008269,0.000465,-0.008734,9.2892,-0.0382,0
2018-02-07,0.000393,-0.004153,0.004546,7.6965,-0.0376,1
2018-02-08,0.003580,-0.002645,0.006225,7.8598,-0.0338,1
2018-02-09,0.011985,0.013931,-0.001946,11.2461,-0.0218,0
2018-02-12,0.003115,0.000555,0.002560,10.3501,-0.0186,0
2018-02-13,-0.007649,-0.000779,-0.006870,9.8216,-0.0262,0
2018-02-14,0.005787,-0.00311,0.008897,8.9226,-0.0202,1
2018-02-15,0.001731,0.002091,-0.000360,10.2551,-0.0185,0
2018-02-16,0.000846,-0.000961,0.001807,10.1474,-0.0176,0
2018-02-19,-0.006363,0.001643,-0.008006,9.5705,-0.0239,0
2018-02-20,0.008374,0.007657,0.000717,8.3437,-0.0153,1
2018-02-21,-0.010624,-0.002305,-0.008319,9.9706,-0.0259,0
2018-02-22,-0.010649,-0.01048,-0.000169,11.2579,-0.0365,0
2018-02-23,0.003749,0.006205,-0.002456,6.778,-0.0326,1
2018-02-26,-0.013559,-0.012681,-0.000878,10.5433,-0.0461,0
2018-02-27,0.010087,0.005338,0.004749,8.5657,-0.0358,1
2018-02-28,-0.001705,-0.001328,-0.000377,8.3283,-0.0373,1
2018-03-01,0.005065,0.003088,0.001977,10.3851,-0.0322,0
2018-03-02,0.023622,0.008563,0.015059,10.2015,-0.0085,0
2018-03-05,0.002287,-0.004862,0.007149,11.3699,-0.0062,0
2018-03-06,0.001325,-0.002471,0.003796,8.6449,-0.0048,0
2018-03-07,-0.001001,0.002858,-0.003859,10.1755,-0.0058,0
2018-03-08,0.006952,0.000522,0.006430,11.1065,0.0,0
2018-03-09,-0.007542,-0.003374,-0.004168,11.2672,-0.0075,0
2018-03-12,0.011938,0.001378,0.010560,12.0148,0.0,0
2018-03-13,0.000714,-0.008123,0.008837,11.8004,0.0,0
2018-03-14,0.008622,0.011542,-0.002920,7.4112,0.0,1
2018-03-15,-0.012058,-2.5e-05,-0.012033,10.587,-0.012,0
2018-03-16,0.029423,0.019609,0.009814,7.8772,0.0,1
2018-03-19,-0.010311,-0.002634,-0.007677,10.3366,-0.0103,0
2018-03-20,0.006403,0.0009,0.005503,7.2772,-0.0037,1
2018-03-21,-0.022540,-0.021528,-0.001012,11.1765,-0.0262,0
2018-03-22,0.012675,0.014733,-0.002058,9.5577,-0.0135,0
2018-03-23,0.003688,0.011401,-0.007713,10.8409,-0.0097,0
2018-03-26,-0.018049,-0.010285,-0.007764,9.5457,-0.0277,0
2018-03-27,0.018473,0.019054,-0.000581,8.1132,-0.0091,1
2018-03-28,0.005508,0.0006,0.004908,10.3552,-0.0035,0
2018-03-29,-0.007683,-0.00727,-0.000413,6.8538,-0.011,1
2018-03-30,-0.002968,-0.000356,-0.002612,9.9845,-0.0139,0
2018-04-02,-0.007780,0.001717,-0.009497,11.3071,-0.0217,0
2018-04-03,-0.012323,-0.010615,-0.001708,9.5175,-0.0339,0
2018-04-04,0.019529,0.012705,0.006824,10.4233,-0.0144,0
2018-04-05,0.005366,0.002125,0.003241,8.6441,-0.0088,1
2018-04-06,0.017824,0.005957,0.011867,11.0885,0.0,0
2018-04-09,0.001555,-6e-06,0.001561,11.4315,0.0,0
2018-04-10,-0.001979,-0.000567,-0.001412,10.7079,-0.0019,0
2018-04-11,-0.007737,-0.003019,-0.004718,10.9045,-0.0096,0
2018-04-12,-0.010324,-0.007292,-0.003032,12.7642,-0.0199,0
2018-04-13,-0.009990,-0.013898,0.003908,9.4582,-0.0299,0
2018-04-16,-0.005867,-0.0148,0.008933,8.5597,-0.0357,0
2018-04-17,-0.007081,-0.009255,0.002174,7.9923,-0.0426,1
2018-04-18,0.008655,-0.000448,0.009103,10.9015,-0.0339,0
2018-04-19,0.007977,0.008546,-0.000569,9.8234,-0.0259,0
2018-04-20,-0.004484,-0.010769,0.006285,8.803,-0.0303,0
2018-04-23,-0.001346,-0.004878,0.003532,7.843,-0.0314,1
2018-04-24,-0.002924,-0.003539,0.000615,6.5718,-0.0342,1
2018-04-25,0.014554,0.008691,0.005863,9.9858,-0.0196,0
2018-04-26,0.013257,0.009447,0.003810,11.1717,-0.0063,0
2018-04-27,-0.014181,0.000989,-0.015170,10.0876,-0.0204,0
2018-04-30,0.005859,0.006453,-0.000594,8.9169,-0.0145,0
2018-05-01,0.009836,0.011088,-0.001252,10.7813,-0.0046,0
2018-05-02,0.017594,0.008446,0.009148,10.9132,0.0,0
2018-05-03,0.007178,0.007974,-0.000796,11.076,0.0,0
2018-05-04,0.002057,-0.001396,0.003453,11.2222,0.0,0
2018-05-07,-0.007894,-0.010354,0.002460,9.3613,-0.0079,0
2018-05-08,0.004628,-0.004304,0.008932,10.423,-0.0032,0
2018-05-09,0.002056,-0.003924,0.005980,11.0412,-0.0011,0
2018-05-10,-0.010853,-0.002752,-0.008101,8.3908,-0.0117,1
2018-05-11,0.015764,0.008217,0.007547,10.238,0.0,0
2018-05-14,-0.001370,0.006768,-0.008138,7.9431,-0.0012,1
2018-05-15,0.012987,0.002319,0.010668,9.0619,0.0,0
2018-05-16,0.005084,-0.002248,0.007332,10.3614,0.0,0
2018-05-17,-0.003287,-0.009299,0.006012,11.8232,-0.0032,0
2018-05-18,0.001928,0.002755,-0.000827,10.5881,-0.0013,0
2018-05-21,-0.000153,-0.001314,0.001161,10.3675,-0.0014,0
2018-05-22,0.028666,0.013966,0.014700,9.5387,0.0,0
2018-05-23,0.011462,0.009924,0.001538,11.6652,0.0,0
2018-05-24,0.020772,0.014729,0.006043,7.7524,0.0,1
2018-05-25,0.003309,0.001008,0.002301,7.5404,0.0,1
2018-05-28,0.005079,0.001142,0.003937,11.2164,0.0,0
2018-05-29,0.006830,0.006542,0.000288,11.7113,0.0,0
2018-05-30,-0.018861,-0.009046,-0.009815,8.6612,-0.0187,1
2018-05-31,-0.014750,-0.017561,0.002811,9.2156,-0.0332,1
2018-06-01,-0.004575,-0.007254,0.002679,9.3425,-0.0376,1
2018-06-04,0.007453,0.008755,-0.001302,9.5093,-0.0301,0
2018-06-05,-0.000685,0.018263,-0.018948,11.1505,-0.0307,0
2018-06-06,0.006906,0.0021,0.004806,8.2212,-0.0236,1
2018-06-07,0.014484,0.003719,0.010765,9.9212,-0.0091,0
2018-06-08,0.010571,0.017084,-0.006513,10.6408,0.0,0
2018-06-11,0.002181,0.007359,-0.005178,9.9786,0.0,0
2018-06-12,-0.006962,-0.008206,0.001244,8.9371,-0.0068,1
2018-06-13,0.008469,-0.000678,0.009147,9.6768,0.0,0
2018-06-14,-0.009703,0.004542,-0.014245,10.4687,-0.0097,0
2018-06-15,0.000172,0.000143,0.000029,10.4746,-0.0094,0
2018-06-18,0.002076,-0.000736,0.002812,7.1635,-0.0072,1
2018-06-19,-0.008964,-0.005943,-0.003021,10.1843,-0.0161,0
2018-06-20,-0.012071,-0.009048,-0.003023,8.8027,-0.028,1
2018-06-21,0.000376,0.011927,-0.011551,9.2871,-0.0275,0
2018-06-22,-0.022840,-0.015891,-0.006949,7.8192,-0.0502,1
2018-06-25,0.000830,-0.003186,0.004016,11.3772,-0.0493,0
2018-06-26,-0.007818,-0.003617,-0.004201,11.958,-0.0571,0
2018-06-27,-0.001488,-0.001433,-0.000055,8.0762,-0.0584,1
2018-06-28,0.002838,0.001073,0.001765,7.49,-0.0553,1
2018-06-29,0.009676,0.009987,-0.000311,9.1294,-0.0456,0
2018-07-02,0.001797,0.002427,-0.000630,7.747,-0.0436,1
2018-07-03,-0.002774,-0.000562,-0.002212,10.5455,-0.0464,0
2018-07-04,0.013858,0.009227,0.004631,10.5005,-0.0325,0
2018-07-05,-0.008290,-0.001555,-0.006735,7.8161,-0.0406,1
2018-07-06,0.012355,-0.003154,0.015509,9.6404,-0.0282,0
2018-07-09,0.001204,0.008017,-0.006813,11.1845,-0.0269,0
2018-07-10,-0.001173,-0.006949,0.005776,10.6262,-0.028,0
2018-07-11,0.007457,0.011054,-0.003597,10.0214,-0.0206,0
2018-07-12,-0.008288,-0.006967,-0.001321,8.6574,-0.0286,1
2018-07-13,0.003155,0.005076,-0.001921,10.134,-0.0254,0
