order_id,customer_id,symbol,side,qty,fill_price,fill_ts_utc,dispatch_ts_raw,dispatch_tz_stated,dispatch_ts_utc_normalized,settlement_status,customer_loss_usd
ORD-00000001,CX-003,HKFIN,BUY,8616,28.73,2026-03-27T17:23:11Z,2026-03-27T13:23:11-04:00,UTC,2026-03-27T17:23:11Z,PENDING_RESUBMIT,0.00
ORD-00000002,CX-005,CNTECH,BUY,919,215.01,2026-03-27T17:23:26Z,2026-03-28T01:23:26+08:00,UTC,2026-03-27T17:23:26Z,PENDING_RESUBMIT,0.00
ORD-00000003,CX-001,CNTECH,SELL,3139,221.32,2026-03-27T17:23:56Z,2026-03-28T01:23:56+08:00,UTC,2026-03-27T17:23:56Z,PENDING_RESUBMIT,0.00
ORD-00000004,CX-004,JPNBK,SELL,7792,225.39,2026-03-27T17:23:56Z,2026-03-28T01:23:56+08:00,UTC,2026-03-27T17:23:56Z,PENDING_RESUBMIT,0.00
ORD-00000005,CX-003,KRSEC,SELL,6147,84.52,2026-03-27T17:24:40Z,2026-03-27T13:24:40-04:00,UTC,2026-03-27T17:24:40Z,PENDING_RESUBMIT,0.00
ORD-00000006,CX-003,HKFIN,BUY,6037,141.80,2026-03-27T17:26:16Z,2026-03-27T13:26:16-04:00,UTC,2026-03-27T17:26:16Z,PENDING_RESUBMIT,0.00
ORD-00000007,CX-001,KRSEC,BUY,9575,22.89,2026-03-27T17:26:26Z,2026-03-28T01:26:26+08:00,UTC,2026-03-27T17:26:26Z,PENDING_RESUBMIT,0.00
ORD-00000008,CX-005,HKFIN,BUY,5463,193.28,2026-03-27T17:26:49Z,2026-03-28T01:26:49+08:00,UTC,2026-03-27T17:26:49Z,FAILED,759.42
ORD-00000009,CX-005,JPNBK,BUY,3815,172.58,2026-03-27T17:27:33Z,2026-03-28T01:27:33+08:00,UTC,2026-03-27T17:27:33Z,FAILED,780.17
ORD-00000010,CX-002,SGEX,BUY,6869,141.17,2026-03-27T17:27:49Z,2026-03-28T01:27:49+08:00,UTC,2026-03-27T17:27:49Z,PENDING_RESUBMIT,0.00
ORD-00000011,CX-002,TWSMC,BUY,3244,33.79,2026-03-27T17:28:08Z,2026-03-28T01:28:08+08:00,UTC,2026-03-27T17:28:08Z,PENDING_RESUBMIT,0.00
ORD-00000012,CX-004,AUHLD,BUY,5747,29.48,2026-03-27T17:28:33Z,2026-03-28T01:28:33+08:00,UTC,2026-03-27T17:28:33Z,PENDING_RESUBMIT,0.00
ORD-00000013,CX-003,AUHLD,SELL,110,17.23,2026-03-27T17:28:42Z,2026-03-27T13:28:42-04:00,UTC,2026-03-27T17:28:42Z,FAILED,760.16
ORD-00000014,CX-001,JPNBK,SELL,2636,14.79,2026-03-27T17:29:18Z,2026-03-28T01:29:18+08:00,UTC,2026-03-27T17:29:18Z,PENDING_RESUBMIT,0.00
