order_id,customer_id,symbol,side,qty,fill_price,fill_ts_utc,dispatch_ts_raw,dispatch_tz_stated,dispatch_ts_utc_normalized,settlement_status,customer_loss_usd
ORD-00002001,CX-002,CNTECH,BUY,8225,189.43,2026-03-28T04:13:38Z,2026-03-28T12:13:38+08:00,UTC,2026-03-28T04:13:38Z,PENDING_RESUBMIT,0.00
ORD-00002002,CX-001,SGEX,BUY,5045,6.61,2026-03-28T04:13:52Z,2026-03-28T12:13:52+08:00,UTC,2026-03-28T04:13:52Z,FAILED,871.66
ORD-00002003,CX-001,CNTECH,BUY,8709,114.45,2026-03-28T04:13:56Z,2026-03-28T12:13:56+08:00,UTC,2026-03-28T04:13:56Z,PENDING_RESUBMIT,0.00
ORD-00002004,CX-003,SGEX,BUY,2423,74.20,2026-03-28T04:14:01Z,2026-03-28T00:14:01-04:00,UTC,2026-03-28T04:14:01Z,FAILED,720.61
ORD-00002005,CX-001,HKFIN,SELL,7031,50.51,2026-03-28T04:14:36Z,2026-03-28T12:14:36+08:00,UTC,2026-03-28T04:14:36Z,FAILED,754.46
ORD-00002006,CX-001,AUHLD,BUY,5092,56.46,2026-03-28T04:14:51Z,2026-03-28T12:14:51+08:00,UTC,2026-03-28T04:14:51Z,FAILED,702.86
ORD-00002007,CX-005,JPNBK,BUY,1372,156.01,2026-03-28T04:14:56Z,2026-03-28T12:14:56+08:00,UTC,2026-03-28T04:14:56Z,PENDING_RESUBMIT,0.00
ORD-00002008,CX-003,HKFIN,BUY,9577,156.05,2026-03-28T04:15:22Z,2026-03-28T00:15:22-04:00,UTC,2026-03-28T04:15:22Z,PENDING_RESUBMIT,0.00
ORD-00002009,CX-005,TWSMC,BUY,4104,173.66,2026-03-28T04:15:26Z,2026-03-28T12:15:26+08:00,UTC,2026-03-28T04:15:26Z,FAILED,869.25
ORD-00002010,CX-005,TWSMC,BUY,4943,184.69,2026-03-28T04:15:52Z,2026-03-28T12:15:52+08:00,UTC,2026-03-28T04:15:52Z,PENDING_RESUBMIT,0.00
ORD-00002011,CX-002,KRSEC,SELL,9335,68.81,2026-03-28T04:15:55Z,2026-03-28T12:15:55+08:00,UTC,2026-03-28T04:15:55Z,PENDING_RESUBMIT,0.00
ORD-00002012,CX-002,TWSMC,SELL,2921,178.92,2026-03-28T04:15:56Z,2026-03-28T12:15:56+08:00,UTC,2026-03-28T04:15:56Z,PENDING_RESUBMIT,0.00
ORD-00002013,CX-001,AUHLD,SELL,8855,129.12,2026-03-28T04:16:15Z,2026-03-28T12:16:15+08:00,UTC,2026-03-28T04:16:15Z,PENDING_RESUBMIT,0.00
ORD-00002014,CX-002,SGEX,BUY,3504,79.29,2026-03-28T04:16:15Z,2026-03-28T12:16:15+08:00,UTC,2026-03-28T04:16:15Z,FAILED,743.87
ORD-00002015,CX-002,CNTECH,BUY,9008,84.04,2026-03-28T04:17:09Z,2026-03-28T12:17:09+08:00,UTC,2026-03-28T04:17:09Z,PENDING_RESUBMIT,0.00
ORD-00002016,CX-005,SGEX,BUY,4380,222.02,2026-03-28T04:17:38Z,2026-03-28T12:17:38+08:00,UTC,2026-03-28T04:17:38Z,PENDING_RESUBMIT,0.00
ORD-00002017,CX-001,TWSMC,BUY,2876,170.14,2026-03-28T04:17:58Z,2026-03-28T12:17:58+08:00,UTC,2026-03-28T04:17:58Z,FAILED,743.78
ORD-00002018,CX-005,CNTECH,SELL,7409,57.28,2026-03-28T04:18:12Z,2026-03-28T12:18:12+08:00,UTC,2026-03-28T04:18:12Z,FAILED,805.20
ORD-00002019,CX-002,HKFIN,SELL,3202,107.49,2026-03-28T04:18:36Z,2026-03-28T12:18:36+08:00,UTC,2026-03-28T04:18:36Z,FAILED,587.10
ORD-00002020,CX-001,AUHLD,BUY,1149,69.46,2026-03-28T04:18:46Z,2026-03-28T12:18:46+08:00,UTC,2026-03-28T04:18:46Z,PENDING_RESUBMIT,0.00
ORD-00002021,CX-002,HKFIN,SELL,4007,32.82,2026-03-28T04:19:51Z,2026-03-28T12:19:51+08:00,UTC,2026-03-28T04:19:51Z,FAILED,678.88
ORD-00002022,CX-003,JPNBK,SELL,3973,146.22,2026-03-28T04:20:04Z,2026-03-28T00:20:04-04:00,UTC,2026-03-28T04:20:04Z,PENDING_RESUBMIT,0.00
ORD-00002023,CX-005,TWSMC,SELL,1674,98.08,2026-03-28T04:20:13Z,2026-03-28T12:20:13+08:00,UTC,2026-03-28T04:20:13Z,PENDING_RESUBMIT,0.00
ORD-00002024,CX-003,TWSMC,BUY,1846,101.85,2026-03-28T04:20:16Z,2026-03-28T00:20:16-04:00,UTC,2026-03-28T04:20:16Z,PENDING_RESUBMIT,0.00
ORD-00002025,CX-003,KRSEC,BUY,4890,36.78,2026-03-28T04:21:08Z,2026-03-28T00:21:08-04:00,UTC,2026-03-28T04:21:08Z,PENDING_RESUBMIT,0.00
ORD-00002026,CX-001,KRSEC,SELL,9075,215.87,2026-03-28T04:21:16Z,2026-03-28T12:21:16+08:00,UTC,2026-03-28T04:21:16Z,PENDING_RESUBMIT,0.00
ORD-00002027,CX-001,KRSEC,SELL,2830,173.99,2026-03-28T04:21:22Z,2026-03-28T12:21:22+08:00,UTC,2026-03-28T04:21:22Z,PENDING_RESUBMIT,0.00
ORD-00002028,CX-005,TWSMC,BUY,6039,32.78,2026-03-28T04:21:41Z,2026-03-28T12:21:41+08:00,UTC,2026-03-28T04:21:41Z,PENDING_RESUBMIT,0.00
ORD-00002029,CX-004,TWSMC,SELL,4053,217.99,2026-03-28T04:22:07Z,2026-03-28T12:22:07+08:00,UTC,2026-03-28T04:22:07Z,PENDING_RESUBMIT,0.00
ORD-00002030,CX-005,KRSEC,SELL,3452,50.28,2026-03-28T04:22:11Z,2026-03-28T12:22:11+08:00,UTC,2026-03-28T04:22:11Z,PENDING_RESUBMIT,0.00
ORD-00002031,CX-001,HKFIN,BUY,4919,114.96,2026-03-28T04:22:12Z,2026-03-28T12:22:12+08:00,UTC,2026-03-28T04:22:12Z,FAILED,882.79
ORD-00002032,CX-003,HKFIN,BUY,4525,35.53,2026-03-28T04:22:27Z,2026-03-28T00:22:27-04:00,UTC,2026-03-28T04:22:27Z,FAILED,791.61
ORD-00002033,CX-005,SGEX,BUY,8717,161.63,2026-03-28T04:22:32Z,2026-03-28T12:22:32+08:00,UTC,2026-03-28T04:22:32Z,FAILED,732.76
ORD-00002034,CX-004,AUHLD,SELL,753,90.09,2026-03-28T04:22:40Z,2026-03-28T12:22:40+08:00,UTC,2026-03-28T04:22:40Z,FAILED,725.92
ORD-00002035,CX-005,AUHLD,SELL,3413,181.59,2026-03-28T04:22:47Z,2026-03-28T12:22:47+08:00,UTC,2026-03-28T04:22:47Z,PENDING_RESUBMIT,0.00
ORD-00002036,CX-004,AUHLD,BUY,4768,71.81,2026-03-28T04:23:33Z,2026-03-28T12:23:33+08:00,UTC,2026-03-28T04:23:33Z,PENDING_RESUBMIT,0.00
ORD-00002037,CX-005,TWSMC,BUY,3183,239.64,2026-03-28T04:23:43Z,2026-03-28T12:23:43+08:00,UTC,2026-03-28T04:23:43Z,PENDING_RESUBMIT,0.00
ORD-00002038,CX-001,TWSMC,BUY,1292,51.10,2026-03-28T04:23:56Z,2026-03-28T12:23:56+08:00,UTC,2026-03-28T04:23:56Z,PENDING_RESUBMIT,0.00
ORD-00002039,CX-001,KRSEC,BUY,3179,113.22,2026-03-28T04:23:56Z,2026-03-28T12:23:56+08:00,UTC,2026-03-28T04:23:56Z,FAILED,745.57
ORD-00002040,CX-005,KRSEC,BUY,8984,111.12,2026-03-28T04:24:09Z,2026-03-28T12:24:09+08:00,UTC,2026-03-28T04:24:09Z,FAILED,701.84
ORD-00002041,CX-005,JPNBK,SELL,7799,130.30,2026-03-28T04:24:17Z,2026-03-28T12:24:17+08:00,UTC,2026-03-28T04:24:17Z,PENDING_RESUBMIT,0.00
