timestamp,robot_id,alarm_code,severity,root_cause_logged,resolved
2026-05-04T03:40:00Z,robot-arm-04,E-0211,medium,gripper_joint_wear,yes
2026-05-20T20:58:00Z,robot-arm-05,W-1001,high,vision_timeout,pending
2026-05-20T20:34:00Z,robot-arm-05,E-0101,low,gripper_joint_wear,yes
2026-05-19T05:54:00Z,robot-arm-01,E-0401,medium,lubrication_low,yes
2026-05-06T01:20:00Z,robot-arm-02,E-0211,medium,sensor_drift,yes
2026-05-22T17:59:00Z,robot-arm-03,E-0211,low,conveyor_jam,yes
2026-05-07T11:14:00Z,robot-arm-02,E-0401,low,conveyor_jam,yes
2026-05-12T09:01:00Z,robot-arm-02,E-0211,high,conveyor_jam,yes
2026-05-06T06:30:00Z,robot-arm-03,E-0101,medium,motor_overheat,pending
2026-05-15T21:18:00Z,robot-arm-01,W-1001,medium,none,pending
2026-05-20T06:19:00Z,robot-arm-05,E-0305,low,lubrication_low,yes
2026-05-19T19:04:00Z,robot-arm-03,E-0101,medium,gripper_joint_wear,yes
2026-05-05T14:08:00Z,robot-arm-04,E-0211,medium,power_fluctuation,pending
2026-05-22T02:51:00Z,robot-arm-04,E-0211,medium,power_fluctuation,pending
2026-05-02T16:06:00Z,robot-arm-02,E-0102,low,conveyor_jam,yes
2026-05-02T06:12:00Z,robot-arm-04,E-0305,medium,conveyor_jam,pending
2026-05-11T10:42:00Z,robot-arm-03,E-0211,medium,vision_timeout,yes
2026-05-12T10:48:00Z,robot-arm-02,E-0101,high,lubrication_low,pending
2026-05-11T18:05:00Z,robot-arm-01,W-2002,medium,lubrication_low,yes
2026-05-13T11:51:00Z,robot-arm-05,W-1001,high,sensor_drift,pending
2026-05-19T19:21:00Z,robot-arm-01,E-0401,medium,power_fluctuation,yes
2026-05-13T21:19:00Z,robot-arm-02,E-0201,low,gripper_joint_wear,pending
2026-05-15T01:25:00Z,robot-arm-03,W-1001,medium,power_fluctuation,yes
2026-05-14T04:37:00Z,robot-arm-01,E-0401,low,power_fluctuation,yes
2026-05-13T17:49:00Z,robot-arm-02,E-0211,medium,sensor_drift,yes
2026-05-08T05:15:00Z,robot-arm-05,W-2002,low,none,pending
2026-05-13T10:47:00Z,robot-arm-05,E-0101,medium,power_fluctuation,yes
2026-05-13T07:21:00Z,robot-arm-04,W-2002,high,conveyor_jam,pending
2026-05-19T03:46:00Z,robot-arm-03,W-1001,medium,conveyor_jam,yes
2026-05-12T21:10:00Z,robot-arm-05,W-2002,low,conveyor_jam,yes
2026-05-14T13:42:00Z,robot-arm-03,W-1001,medium,power_fluctuation,yes
2026-05-18T07:24:00Z,robot-arm-05,E-0101,high,gripper_joint_wear,yes
2026-05-06T11:12:00Z,robot-arm-01,E-0401,low,lubrication_low,pending
2026-05-09T08:12:00Z,robot-arm-05,E-0101,low,lubrication_low,pending
2026-05-13T06:14:00Z,robot-arm-04,W-1001,low,gripper_joint_wear,yes
2026-05-19T14:29:00Z,robot-arm-04,W-2002,medium,gripper_joint_wear,yes
2026-05-22T17:02:00Z,robot-arm-02,E-0211,high,vision_timeout,yes
2026-05-04T12:03:00Z,robot-arm-03,E-0201,medium,lubrication_low,yes
2026-05-17T16:39:00Z,robot-arm-04,W-2002,medium,lubrication_low,yes
2026-05-10T00:39:00Z,robot-arm-01,W-1001,medium,conveyor_jam,yes
2026-05-15T08:39:00Z,robot-arm-04,E-0201,medium,power_fluctuation,yes
2026-05-19T17:12:00Z,robot-arm-03,E-0305,low,none,yes
2026-05-08T06:47:00Z,robot-arm-01,E-0401,medium,vision_timeout,yes
2026-05-15T15:24:00Z,robot-arm-03,E-0211,low,lubrication_low,yes
2026-05-13T06:09:00Z,robot-arm-05,W-2002,medium,power_fluctuation,yes
2026-05-09T06:17:00Z,robot-arm-04,E-0401,low,conveyor_jam,yes
2026-05-07T13:42:00Z,robot-arm-05,W-1001,low,none,pending
2026-05-17T12:29:00Z,robot-arm-02,W-2002,high,lubrication_low,yes
2026-05-14T01:32:00Z,robot-arm-03,E-0401,low,conveyor_jam,pending
2026-05-18T05:34:00Z,robot-arm-03,W-2002,medium,conveyor_jam,yes
2026-05-03T13:36:00Z,robot-arm-01,E-0102,medium,conveyor_jam,yes
2026-05-07T17:46:00Z,robot-arm-05,E-0305,medium,vision_timeout,yes
2026-05-18T06:32:00Z,robot-arm-03,W-1001,medium,lubrication_low,yes
2026-05-09T15:18:00Z,robot-arm-04,E-0201,low,none,yes
2026-05-02T06:11:00Z,robot-arm-05,E-0211,medium,none,yes
2026-05-13T13:09:00Z,robot-arm-05,W-1001,low,motor_overheat,yes
2026-05-06T05:36:00Z,robot-arm-02,E-0401,medium,sensor_drift,yes
2026-05-21T22:27:00Z,robot-arm-03,E-0201,low,vision_timeout,yes
