date,category,channel,orders,aov,gmv_method,gmv_rmb_million,subsidy_rmb_million,notes
2025-05-13,apparel,tmall,1030111,180.0,method1,185.42,14.05,
2025-05-13,apparel,jd,397611,180.0,method1,71.57,5.42,
2025-05-13,apparel,douyin,370833,180.0,method1,66.75,5.06,
2025-05-13,apparel,kuaishou,86555,180.0,method1,15.58,1.18,
2025-05-13,electronics,tmall,1867055,180.0,method1,336.07,25.46,
2025-05-13,electronics,jd,720666,180.0,method1,129.72,9.83,
2025-05-13,electronics,douyin,672166,180.0,method1,120.99,9.17,
2025-05-13,electronics,kuaishou,156833,180.0,method1,28.23,2.14,
2025-05-13,beauty,tmall,676000,180.0,method1,121.68,9.22,
2025-05-13,beauty,jd,260944,180.0,method1,46.97,3.56,
2025-05-13,beauty,douyin,243388,180.0,method1,43.81,3.32,
2025-05-13,beauty,kuaishou,56777,180.0,method1,10.22,0.77,
2025-05-13,home,tmall,466777,180.0,method1,84.02,6.36,
2025-05-13,home,jd,180166,180.0,method1,32.43,2.46,
2025-05-13,home,douyin,168055,180.0,method1,30.25,2.29,
2025-05-13,home,kuaishou,39222,180.0,method1,7.06,0.53,
2025-05-13,food,tmall,209222,180.0,method1,37.66,2.85,
2025-05-13,food,jd,80777,180.0,method1,14.54,1.1,
2025-05-13,food,douyin,75333,180.0,method1,13.56,1.03,
2025-05-13,food,kuaishou,17555,180.01,method1,3.16,0.24,
2025-05-14,apparel,tmall,1255166,180.0,method1,225.93,17.12,
2025-05-14,apparel,jd,484500,180.0,method1,87.21,6.61,
2025-05-14,apparel,douyin,451888,180.0,method1,81.34,6.16,
2025-05-14,apparel,kuaishou,105444,180.0,method1,18.98,1.44,
2025-05-14,electronics,tmall,2275055,180.0,method1,409.51,31.02,
2025-05-14,electronics,jd,878166,180.0,method1,158.07,11.97,
2025-05-14,electronics,douyin,819000,180.0,method1,147.42,11.17,
2025-05-14,electronics,kuaishou,191111,180.0,method1,34.4,2.61,
2025-05-14,beauty,tmall,823722,180.0,method1,148.27,11.23,
2025-05-14,beauty,jd,317944,180.0,method1,57.23,4.34,
2025-05-14,beauty,douyin,296555,180.0,method1,53.38,4.04,
2025-05-14,beauty,kuaishou,69166,180.0,method1,12.45,0.94,
2025-05-14,home,tmall,568777,180.0,method1,102.38,7.76,
2025-05-14,home,jd,219555,180.0,method1,39.52,2.99,
2025-05-14,home,douyin,204777,180.0,method1,36.86,2.79,
2025-05-14,home,kuaishou,47777,180.0,method1,8.6,0.65,
2025-05-14,food,tmall,254944,180.0,method1,45.89,3.48,
2025-05-14,food,jd,98388,180.0,method1,17.71,1.34,
2025-05-14,food,douyin,91777,180.0,method1,16.52,1.25,
2025-05-14,food,kuaishou,21444,180.0,method1,3.86,0.29,
2025-05-15,apparel,tmall,1283833,180.0,method1,231.09,17.51,
2025-05-15,apparel,jd,495555,180.0,method1,89.2,6.76,
2025-05-15,apparel,douyin,462166,180.0,method1,83.19,6.3,
2025-05-15,apparel,kuaishou,107833,180.0,method1,19.41,1.47,
2025-05-15,electronics,tmall,2326944,180.0,method1,418.85,31.73,
2025-05-15,electronics,jd,898222,180.0,method1,161.68,12.25,
2025-05-15,electronics,douyin,837722,180.0,method1,150.79,11.42,
2025-05-15,electronics,kuaishou,195444,180.0,method1,35.18,2.67,
2025-05-15,beauty,tmall,842500,180.0,method1,151.65,11.49,
2025-05-15,beauty,jd,325222,180.0,method1,58.54,4.43,
2025-05-15,beauty,douyin,303277,180.0,method1,54.59,4.14,
2025-05-15,beauty,kuaishou,70777,180.0,method1,12.74,0.97,
2025-05-15,home,tmall,581722,180.0,method1,104.71,7.93,
2025-05-15,home,jd,224555,180.0,method1,40.42,3.06,
2025-05-15,home,douyin,209444,180.0,method1,37.7,2.86,
2025-05-15,home,kuaishou,48888,180.0,method1,8.8,0.67,
2025-05-15,food,tmall,260777,180.0,method1,46.94,3.56,
2025-05-15,food,jd,100666,180.0,method1,18.12,1.37,
2025-05-15,food,douyin,93888,180.0,method1,16.9,1.28,
2025-05-15,food,kuaishou,21888,180.01,method1,3.94,0.3,
2025-05-16,apparel,tmall,1166111,180.0,method1,209.9,15.9,
2025-05-16,apparel,jd,450111,180.0,method1,81.02,6.14,
2025-05-16,apparel,douyin,419833,180.0,method1,75.57,5.72,
2025-05-16,apparel,kuaishou,97944,180.0,method1,17.63,1.34,
2025-05-16,electronics,tmall,2113611,180.0,method1,380.45,28.82,
2025-05-16,electronics,jd,815833,180.0,method1,146.85,11.13,
2025-05-16,electronics,douyin,760888,180.0,method1,136.96,10.38,
2025-05-16,electronics,kuaishou,177555,180.0,method1,31.96,2.42,
2025-05-16,beauty,tmall,765277,180.0,method1,137.75,10.44,
2025-05-16,beauty,jd,295388,180.0,method1,53.17,4.03,
2025-05-16,beauty,douyin,275500,180.0,method1,49.59,3.76,
2025-05-16,beauty,kuaishou,64277,180.0,method1,11.57,0.88,
2025-05-16,home,tmall,528388,180.0,method1,95.11,7.21,
2025-05-16,home,jd,203944,180.0,method1,36.71,2.78,
2025-05-16,home,douyin,190222,180.0,method1,34.24,2.59,
2025-05-16,home,kuaishou,44388,180.0,method1,7.99,0.61,
2025-05-16,food,tmall,236888,180.0,method1,42.64,3.23,
2025-05-16,food,jd,91444,180.0,method1,16.46,1.25,
2025-05-16,food,douyin,85277,180.0,method1,15.35,1.16,
2025-05-16,food,kuaishou,19888,180.01,method1,3.58,0.27,
2025-05-17,apparel,tmall,1250722,180.0,method1,225.13,17.06,
2025-05-17,apparel,jd,482777,180.0,method1,86.9,6.58,
2025-05-17,apparel,douyin,450277,180.0,method1,81.05,6.14,
2025-05-17,apparel,kuaishou,105055,180.0,method1,18.91,1.43,
2025-05-17,electronics,tmall,2266888,180.0,method1,408.04,30.91,
2025-05-17,electronics,jd,875055,180.0,method1,157.51,11.93,
2025-05-17,electronics,douyin,816111,180.0,method1,146.9,11.13,
2025-05-17,electronics,kuaishou,190444,180.0,method1,34.28,2.6,
2025-05-17,beauty,tmall,820777,180.0,method1,147.74,11.19,
2025-05-17,beauty,jd,316833,180.0,method1,57.03,4.32,
2025-05-17,beauty,douyin,295500,180.0,method1,53.19,4.03,
2025-05-17,beauty,kuaishou,68944,180.0,method1,12.41,0.94,
2025-05-17,home,tmall,566722,180.0,method1,102.01,7.73,
2025-05-17,home,jd,218777,180.0,method1,39.38,2.98,
2025-05-17,home,douyin,204000,180.0,method1,36.72,2.78,
2025-05-17,home,kuaishou,47611,180.0,method1,8.57,0.65,
2025-05-17,food,tmall,254055,180.0,method1,45.73,3.46,
2025-05-17,food,jd,98055,180.0,method1,17.65,1.34,
2025-05-17,food,douyin,91444,180.0,method1,16.46,1.25,
2025-05-17,food,kuaishou,21333,180.0,method1,3.84,0.29,
2025-05-18,apparel,tmall,1023166,180.0,method1,184.17,13.95,
2025-05-18,apparel,jd,394944,180.0,method1,71.09,5.39,
2025-05-18,apparel,douyin,368333,180.0,method1,66.3,5.02,
2025-05-18,apparel,kuaishou,85944,180.0,method1,15.47,1.17,
2025-05-18,electronics,tmall,1854555,180.0,method1,333.82,25.29,
2025-05-18,electronics,jd,715833,180.0,method1,128.85,9.76,
2025-05-18,electronics,douyin,667611,180.0,method1,120.17,9.1,
2025-05-18,electronics,kuaishou,155777,180.0,method1,28.04,2.12,
2025-05-18,beauty,tmall,671444,180.0,method1,120.86,9.16,
2025-05-18,beauty,jd,259166,180.0,method1,46.65,3.53,
2025-05-18,beauty,douyin,241722,180.0,method1,43.51,3.3,
2025-05-18,beauty,kuaishou,56388,180.0,method1,10.15,0.77,
2025-05-18,home,tmall,463611,180.0,method1,83.45,6.32,
2025-05-18,home,jd,178944,180.0,method1,32.21,2.44,
