date,strategy_return_pct,benchmark_return_pct,excess_return_pct,rolling_vol_30d,drawdown_pct,synthetic_aug,fee_adj_return_pct
2018-01-02,0.017336,0.00694,0.010396,9.8004,0.0,0,
2018-01-03,-0.010375,-0.013924,0.003549,9.4869,-0.0104,0,
2018-01-04,0.007009,0.001756,0.005253,11.2656,-0.0034,0,
2018-01-05,-0.010876,-0.017448,0.006572,9.3517,-0.0142,0,
2018-01-08,-0.000294,0.003527,-0.003822,7.9975,-0.0145,1,
2018-01-09,-0.001566,-0.006386,0.004819,9.278,-0.0161,1,
2018-01-10,-0.0016,0.002913,-0.004513,9.9616,-0.0177,0,
2018-01-11,0.012931,0.00949,0.003441,7.4664,-0.0048,1,
2018-01-12,0.010041,0.019825,-0.009784,9.9471,0.0,0,
2018-01-15,0.012418,0.019578,-0.00716,11.5028,0.0,0,
2018-01-16,-0.002026,-0.004528,0.002503,10.38,-0.002,0,
2018-01-17,0.00475,-0.002883,0.007633,10.3853,0.0,0,
2018-01-18,0.002133,0.000305,0.001829,9.3232,0.0,0,
2018-01-19,0.004134,0.005087,-0.000954,8.298,0.0,1,
2018-01-22,-0.022509,-0.014366,-0.008143,10.2615,-0.0225,0,
2018-01-23,0.009096,-0.000253,0.009349,10.6908,-0.0134,0,
2018-01-24,2.6e-05,-0.001586,0.001612,8.1748,-0.0134,1,
2018-01-25,-0.017769,-0.008445,-0.009323,11.7003,-0.0312,0,
2018-01-26,0.005916,0.003293,0.002623,8.5525,-0.0252,1,
2018-01-29,-0.001827,0.001213,-0.00304,9.7885,-0.0271,0,
2018-01-30,0.007117,0.0052,0.001917,8.3333,-0.02,1,
2018-01-31,-0.013143,-0.009935,-0.003209,9.5187,-0.0331,0,
2018-02-01,0.001098,-0.001,0.002098,10.0586,-0.032,0,
2018-02-02,0.007355,-0.000512,0.007868,10.7033,-0.0246,0,
2018-02-05,-0.005293,-0.007161,0.001868,7.6579,-0.0299,1,
2018-02-06,-0.008227,0.000465,-0.008692,9.2892,-0.0382,0,
2018-02-07,0.000591,-0.004153,0.004745,7.6965,-0.0376,1,
2018-02-08,0.00378,-0.002645,0.006424,7.8598,-0.0338,1,
2018-02-09,0.012027,0.013931,-0.001904,11.2461,-0.0218,0,
2018-02-12,0.003157,0.000555,0.002602,10.3501,-0.0186,0,
2018-02-13,-0.007607,-0.000779,-0.006828,9.8216,-0.0262,0,
2018-02-14,0.005985,-0.00311,0.009096,8.9226,-0.0202,1,
2018-02-15,0.001773,0.002091,-0.000318,10.2551,-0.0185,0,
2018-02-16,0.000888,-0.000961,0.001849,10.1474,-0.0176,0,
2018-02-19,-0.006321,0.001643,-0.007964,9.5705,-0.0239,0,
2018-02-20,0.008572,0.007657,0.000916,8.3437,-0.0153,1,
2018-02-21,-0.010582,-0.002305,-0.008277,9.9706,-0.0259,0,
2018-02-22,-0.010607,-0.01048,-0.000127,11.2579,-0.0365,0,
2018-02-23,0.003948,0.006205,-0.002257,6.778,-0.0326,1,
2018-02-26,-0.013517,-0.012681,-0.000836,10.5433,-0.0461,0,
2018-02-27,0.010285,0.005338,0.004948,8.5657,-0.0358,1,
2018-02-28,-0.001506,-0.001328,-0.000178,8.3283,-0.0373,1,
2018-03-01,0.005107,0.003088,0.002019,10.3851,-0.0322,0,
2018-03-02,0.023663,0.008563,0.015101,10.2015,-0.0085,0,
2018-03-05,0.002329,-0.004862,0.007191,11.3699,-0.0062,0,
2018-03-06,0.001367,-0.002471,0.003838,8.6449,-0.0048,0,
2018-03-07,-0.000959,0.002858,-0.003817,10.1755,-0.0058,0,
2018-03-08,0.006993,0.000522,0.006472,11.1065,0.0,0,
2018-03-09,-0.007501,-0.003374,-0.004126,11.2672,-0.0075,0,
2018-03-12,0.01198,0.001378,0.010602,12.0148,0.0,0,
2018-03-13,0.000755,-0.008123,0.008879,11.8004,0.0,0,
2018-03-14,0.008821,0.011542,-0.002721,7.4112,0.0,1,
2018-03-15,-0.012016,-2.5e-05,-0.011991,10.587,-0.012,0,
2018-03-16,0.029623,0.019609,0.010013,7.8772,0.0,1,
