userid,dbid,toplevel,queryid,query,plans,total_plan_time,min_plan_time,max_plan_time,mean_plan_time,stddev_plan_time,calls,total_exec_time,min_exec_time,max_exec_time,mean_exec_time,stddev_exec_time,rows,shared_blks_hit,shared_blks_read,shared_blks_dirtied,shared_blks_written,local_blks_hit,local_blks_read,local_blks_dirtied,local_blks_written,temp_blks_read,temp_blks_written,blk_read_time,blk_write_time,temp_blk_read_time,temp_blk_write_time,wal_records,wal_fpi,wal_bytes,jit_functions,jit_generation_time,jit_inlining_count,jit_inlining_time,jit_optimization_count,jit_optimization_time,jit_emission_count,jit_emission_time,jit_deform_count,jit_deform_time,parallel_workers_to_launch,parallel_workers_launched,stats_since,minmax_stats_since,total_time,min_time,max_time,mean_time,stddev_time,cache_hit_ratio,seq_scans,idx_scans,n_live_tup,n_dead_tup,last_autovacuum,last_autoanalyze
16384,24601,True,1001,SELECT * FROM events WHERE service_id = $1 AND created_at >= $2 ORDER BY created_at DESC LIMIT 100,1820,88274.19,14.55,203.71,48.5023,21.826,1820,8827418.6,1455.07,20370.97,4850.23,2182.6,48698,983912,62451,35,15,0,0,0,0,1828,71,368.24,33.83,0,0,8935,11,619176,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2026-01-01 00:00:00+00,2026-01-01 00:00:00+00,8827418.6,1455.07,20370.97,4850.23,2182.6,94.03,6912,2082,4000315,767,2026-01-14 03:00:00+00,2026-01-14 03:16:00+00
16384,24601,True,1002,"SELECT u.email, u.name, o.status, o.amount_cents FROM orders o JOIN users u ON o.user_id = u.id WHERE o.service_id = $1 AND o.status = $2",945,30619.42,9.72,136.09,32.4015,14.5807,945,3061941.75,972.04,13608.63,3240.15,1458.07,33218,1884068,497925,77,1,0,0,0,0,4597,101,358.01,35.07,0,0,6873,28,471029,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2026-01-01 00:00:00+00,2026-01-01 00:00:00+00,3061941.75,972.04,13608.63,3240.15,1458.07,79.1,9654,18231,873248,1307,2026-01-14 03:00:00+00,2026-01-14 03:16:00+00
16384,24601,True,1003,SELECT COUNT(*) FROM events WHERE status = 'active',234,29134.57,37.35,522.93,124.5067,56.028,234,2913456.78,3735.2,52292.81,12450.67,5602.8,18310,3595146,723557,19,13,0,0,0,0,2757,52,46.37,4.84,0,0,5635,77,277370,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2026-01-01 00:00:00+00,2026-01-01 00:00:00+00,2913456.78,3735.2,52292.81,12450.67,5602.8,83.25,711,47823,61663963,4392,2026-01-14 03:00:00+00,2026-01-14 03:16:00+00
16384,24601,True,1004,SELECT * FROM notifications WHERE user_id = $1 AND is_read = FALSE ORDER BY sent_at DESC,4521,98577.69,6.54,91.58,21.8044,9.812,4521,9857769.24,654.13,9157.85,2180.44,981.2,24907,1097117,1944193,10,35,0,0,0,0,2401,424,314.32,44.27,0,0,5925,73,201629,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2026-01-01 00:00:00+00,2026-01-01 00:00:00+00,9857769.24,654.13,9157.85,2180.44,981.2,36.07,1139,3003,88754260,1866,2026-01-14 03:00:00+00,2026-01-14 03:16:00+00
16384,24601,True,1005,"SELECT p.sku, p.name, SUM(o.amount_cents) FROM orders o JOIN products p ON o.product_id = p.id WHERE o.created_at BETWEEN $1 AND $2 GROUP BY p.sku, p.name ORDER BY SUM(o.amount_cents) DESC",312,17693.18,17.01,238.18,56.7089,25.519,312,1769317.68,1701.27,23817.74,5670.89,2551.9,15356,2477562,177335,12,24,0,0,0,0,2277,232,317.84,18.24,0,0,6065,45,219684,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2026-01-01 00:00:00+00,2026-01-01 00:00:00+00,1769317.68,1701.27,23817.74,5670.89,2551.9,93.32,4374,45994,86978837,584,2026-01-14 03:00:00+00,2026-01-14 03:16:00+00
16384,24601,True,1006,SELECT * FROM events WHERE service_id = $1 AND event_type = $2 AND created_at >= $3,678,26375.01,11.67,163.39,38.9012,17.5055,678,2637501.36,1167.04,16338.5,3890.12,1750.55,47884,1485615,1130172,31,10,0,0,0,0,3786,194,134.97,46.27,0,0,9125,28,717870,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2026-01-01 00:00:00+00,2026-01-01 00:00:00+00,2637501.36,1167.04,16338.5,3890.12,1750.55,56.79,5313,3665,30743311,262,2026-01-14 03:00:00+00,2026-01-14 03:16:00+00
16384,24601,True,1007,SELECT * FROM orders WHERE billed IS NOT TRUE AND created_at < $1,2341,46359.53,5.94,83.17,19.8033,8.9115,2341,4635952.53,594.1,8317.39,1980.33,891.15,17646,2696211,851303,8,13,0,0,0,0,4646,448,358.96,10.63,0,0,8179,50,927657,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2026-01-01 00:00:00+00,2026-01-01 00:00:00+00,4635952.53,594.1,8317.39,1980.33,891.15,76.0,7517,9363,35552614,1143,2026-01-14 03:00:00+00,2026-01-14 03:16:00+00
16384,24601,True,1008,"SELECT u.email, u.name, u.updated_at FROM users WHERE email LIKE $1",8934,73307.94,2.46,34.46,8.2055,3.6925,8934,7330793.7,246.16,3446.31,820.55,369.25,36889,2118861,1572355,68,16,0,0,0,0,4788,219,448.91,19.97,0,0,3593,17,534277,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2026-01-01 00:00:00+00,2026-01-01 00:00:00+00,7330793.7,246.16,3446.31,820.55,369.25,57.4,8085,5957,6324852,898,2026-01-14 03:00:00+00,2026-01-14 03:16:00+00
16384,24601,True,1009,SELECT * FROM audit_log WHERE table_name = $1 AND record_id = $2 ORDER BY changed_at DESC,5621,34300.47,1.83,25.63,6.1022,2.746,5621,3430046.62,183.07,2562.92,610.22,274.6,10584,1332125,1325849,87,27,0,0,0,0,4885,32,192.38,29.79,0,0,7668,67,263626,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2026-01-01 00:00:00+00,2026-01-01 00:00:00+00,3430046.62,183.07,2562.92,610.22,274.6,50.12,9064,752,15375874,4398,2026-01-14 03:00:00+00,2026-01-14 03:16:00+00
16384,24601,True,1010,"SELECT e.id, e.event_type, e.data, o.status FROM events e JOIN orders o ON e.service_id = o.service_id WHERE e.created_at >= $1 AND o.status IN ($2, $3) LIMIT 1000",156,13915.9,26.76,374.66,89.2045,40.142,156,1391590.2,2676.14,37465.89,8920.45,4014.2,42106,2288291,1621868,43,7,0,0,0,0,2404,222,79.08,0.16,0,0,4315,64,798975,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2026-01-01 00:00:00+00,2026-01-01 00:00:00+00,1391590.2,2676.14,37465.89,8920.45,4014.2,58.52,2927,33271,14283218,2444,2026-01-14 03:00:00+00,2026-01-14 03:16:00+00
