sku_id,category,sku_name,inventory_units,unit_cost_rmb,inventory_value_rmb,warehouse,snapshot_date
APP-0001,apparel,Apparel SKU 0001,3853,307.47,1184681.91,WH-SH,2025-05-12
APP-0002,apparel,Apparel SKU 0002,3840,833.99,3202521.6,WH-SH,2025-05-12
APP-0003,apparel,Apparel SKU 0003,3791,952.79,3612026.89,WH-CD,2025-05-12
APP-0004,apparel,Apparel SKU 0004,4032,793.36,3198827.52,WH-CD,2025-05-12
APP-0005,apparel,Apparel SKU 0005,2388,1448.42,3458826.96,WH-CD,2025-05-12
APP-0006,apparel,Apparel SKU 0006,1290,224.4,289476.0,WH-GZ,2025-05-12
APP-0007,apparel,Apparel SKU 0007,1186,1655.09,1962936.74,WH-SH,2025-05-12
APP-0008,apparel,Apparel SKU 0008,1770,463.23,819917.1,WH-BJ,2025-05-12
APP-0009,apparel,Apparel SKU 0009,2324,1859.68,4321896.32,WH-CD,2025-05-12
APP-0010,apparel,Apparel SKU 0010,4273,301.26,1287283.98,WH-SH,2025-05-12
APP-0011,apparel,Apparel SKU 0011,1481,1444.0,2138564.0,WH-CD,2025-05-12
APP-0012,apparel,Apparel SKU 0012,464,1789.57,830360.48,WH-SH,2025-05-12
APP-0013,apparel,Apparel SKU 0013,3743,1336.09,5000984.87,WH-CD,2025-05-12
APP-0014,apparel,Apparel SKU 0014,567,1719.1,974729.7,WH-SH,2025-05-12
APP-0015,apparel,Apparel SKU 0015,1340,1075.49,1441156.6,WH-BJ,2025-05-12
APP-0016,apparel,Apparel SKU 0016,2501,940.69,2352665.69,WH-BJ,2025-05-12
APP-0017,apparel,Apparel SKU 0017,4013,850.19,3411812.47,WH-GZ,2025-05-12
APP-0018,apparel,Apparel SKU 0018,233,1256.5,292764.5,WH-GZ,2025-05-12
APP-0019,apparel,Apparel SKU 0019,458,1675.31,767291.98,WH-CD,2025-05-12
APP-0020,apparel,Apparel SKU 0020,665,1919.42,1276414.3,WH-BJ,2025-05-12
APP-0021,apparel,Apparel SKU 0021,277,524.64,145325.28,WH-CD,2025-05-12
APP-0022,apparel,Apparel SKU 0022,2602,362.68,943693.36,WH-SH,2025-05-12
APP-0023,apparel,Apparel SKU 0023,3806,886.87,3375427.22,WH-SH,2025-05-12
